name,RA,DEC,zlens
SDSSJ1037+3517 | J1037+3517,159.43762,35.29194,0.12171 | 0.122
SDSSJ1117+4704 | J1117+4704,169.3974,47.06873,0.16888 | 0.169
J1135+3720 | SDSSJ1135+3720,173.77867,37.33997,0.162 | 0.16242
J1203+2535 | SDSSJ1203+2535,180.98471,25.59698,0.101 | 0.10112
J1331+3638 | SDSSJ1331+3638,202.91802,36.46999,0.113 | 0.11333
SDSSJ1703+2451 | J1703+2451,255.92279,24.8611,0.06287 | 0.063
SDSSJ085621.59+201040.5 | SDSSJ085621.59+201040.5,134.08996,20.17793,0.5074 | 0.5074
CSWA38 | 38.0 | SDSS J122651.7+215225,186.7154,21.87368,0.42 | 0.42 | 0.433
CSWA10 | 10.0 | SDSS J223831.3+131955,339.63044,13.33206,0.413 | 0.413 | 0.413
SDSSJ1152+0930,178.19742,9.50408,0.517
SDSSJ1315+5439,198.78875,54.63106,0.588
SDSSJ1420+3955 | [J142040+395513] | [J142040+395514] | [J142040+395508] | [J142040+395515] | [J142040+395507] | [J142041+395514] | [J142041+395513],215.16994,39.92004,0.607 | nan | nan | nan | nan | nan | nan | nan
SDSSJ1329+2243 | [J132934+224314] | [J132934+224318] | [J132934+224316] | [J132934+224304] | [J132934+224329] | [J132934+224317] | [J132935+224327] | [J132935+224321],202.39529,22.72194,0.443 | nan | nan | nan | nan | nan | nan | nan | nan
SDSSJ2243-0935 | [J224320-093525] | [J224320-093524] | [J224320-093523] | [J224320-093520] | [J224320-093521] | [J224321-093524] | [J224321-093522] | [J224321-093520],340.83618,-9.58994,0.447 | nan | nan | nan | nan | nan | nan | nan | nan
31.0 | SDSSJ0921+1810,140.35725,18.17148,0.683 | 0.6832
SDSSJ1115+1645 | SDSS J111504.4+164538 | DESI-168.7683+16.7607 | [J111504+164532] | [J111504+164526] | [J111504+164531],168.76842,16.75979,0.537 | 0.588 | 0.61965 | nan | nan | nan
CSWA39 | 39.0 | SDSS J1527+0652 | SDSS J152745.8+065233 | [J152745+065236] | [J152745+065232] | [J152745+065228],231.93912,6.87593,0.39 | 0.39 | 0.4 | 0.4 | nan | nan | nan
5730-56607-697 | SDSSJ091859.21+510452.5 | SDSSJ091859.21+510452.5,139.74671,51.08128,0.58 | 0.5811 | 0.5811
4622-55629-615 | SDSSJ111040.42+364924.4 | SDSSJ111040.42+364924.4,167.66846,36.82344,0.73 | 0.733 | 0.733
SDSSJ083727.02+493703.7 | 26 | J0837+4937,129.36258,49.61769,0.5513 | 0.551383 | 0.5514
